"filename", "language", "PHP", "SCSS", "JSON", "HTML", "XML", "CSS", "JavaScript", "Log", "JSON with Comments", "Markdown", "YAML", "WebAssembly Text Format", "G-Code", "comment", "blank", "total"
"c:\xampp\htdocs\Splint\SplintManager\resources\css\Output\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\xampp\htdocs\Splint\SplintManager\resources\css\Output\index.css", "CSS", 0, 0, 0, 0, 0, 3374, 0, 0, 0, 0, 0, 0, 0, 0, 498, 3872
"c:\xampp\htdocs\Splint\SplintManager\resources\css\Output\projectsIndex.css", "CSS", 0, 0, 0, 0, 0, 3601, 0, 0, 0, 0, 0, 0, 0, 0, 500, 4101
"c:\xampp\htdocs\Splint\SplintManager\resources\js\Loader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\data\callPHP_log.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\data\inspectProjects.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 1, 26
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 4, 5, 96
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\parseLog.js", "JavaScript", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 4, 96
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\templateExtendedPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 4, 4, 76
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\templateExtendedPage_content.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\templateMenuPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 0, 32
"c:\xampp\htdocs\Splint\SplintManager\resources\js\assets\tools.js", "JavaScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\API\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 1, 11
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\API\types\klipper\assets\installation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\API\types\klipper\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 2, 37
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\API\types\unsplash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 1, 13
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\DOMElements\DOMElements.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\DOMElements\types\classic.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\DOMElements\types\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 1, 35
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\documentation\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 1, 21
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\projects\details.js", "JavaScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 78, 8, 194
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\projects\error_log\PHPdebuggLog.js", "JavaScript", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 6, 5, 110
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\projects\error_log\overview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 9, 6, 62
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\projects\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 41, 5, 104
"c:\xampp\htdocs\Splint\SplintManager\resources\js\pages\projects\newProject.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 4, 36
"c:\xampp\htdocs\Splint\SplintManager\resources\js\test\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 11, 1, 14
"c:\xampp\htdocs\Splint\SplintManager\resources\php\Access.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\Splint\SplintManager\resources\php\PHP_debugg_log.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Splint\SplintManager\resources\php\PHP_error_log.log", "Log", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\xampp\htdocs\Splint\SplintManager\resources\php\createDocs.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\Output\basic.css", "CSS", 0, 0, 0, 0, 0, 2915, 0, 0, 0, 0, 0, 0, 0, 0, 450, 3365
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\Output\index.css", "CSS", 0, 0, 0, 0, 0, 2915, 0, 0, 0, 0, 0, 0, 0, 0, 450, 3365
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\assets\_API_unsplashMenu.scss", "SCSS", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\assets\_header.scss", "SCSS", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 80
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\assets\_main.scss", "SCSS", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 132
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\assets\_pageExtendedTemplate.scss", "SCSS", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 74
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\assets\_pageMenuTemplate.scss", "SCSS", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 36
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\Output\projectsIndex.css", "CSS", 0, 0, 0, 0, 0, 3133, 0, 0, 0, 0, 0, 0, 0, 0, 452, 3585
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\basic.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\API\APIindex.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\API\Output\API_klipper.css", "CSS", 0, 0, 0, 0, 0, 5885, 0, 0, 0, 0, 0, 0, 0, 0, 901, 6786
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\API\types\API_klipper.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\DOMElements\DOMElement.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\Output\APIindex.css", "CSS", 0, 0, 0, 0, 0, 2976, 0, 0, 0, 0, 0, 0, 0, 0, 451, 3427
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\documentation\Output\DOMElement.css", "CSS", 0, 0, 0, 0, 0, 5885, 0, 0, 0, 0, 0, 0, 0, 0, 901, 6786
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\index.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\projects\_error_log.scss", "SCSS", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 134
"c:\xampp\htdocs\Splint\SplintManager\resources\scss\pages\projects\projectsIndex.scss", "SCSS", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 73
"c:\xampp\htdocs\Splint\html\ex_inputTemplate.html", "HTML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\Splint\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\Splint\lib\dependencies\chart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11292, 0, 0, 0, 0, 0, 0, 63, 58, 11413
"c:\xampp\htdocs\Splint\lib\dependencies\helpers.segment.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 2321, 0, 0, 0, 0, 0, 0, 526, 23, 2870
"c:\xampp\htdocs\Splint\lib\ex_chart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 47
"c:\xampp\htdocs\Splint\lib\imageTracerJS\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\xampp\htdocs\Splint\lib\imageTracerJS\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 94, 318
"c:\xampp\htdocs\Splint\lib\imageTracerJS\bower.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\xampp\htdocs\Splint\lib\imageTracerJS\imagetracer_examples.html", "HTML", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 82
"c:\xampp\htdocs\Splint\lib\imageTracerJS\imagetracer_options_gallery.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\xampp\htdocs\Splint\lib\imageTracerJS\imagetracer_test_automation.html", "HTML", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 334
"c:\xampp\htdocs\Splint\lib\imageTracerJS\imagetracer_v1.2.6.js", "JavaScript", 0, 0, 0, 0, 0, 0, 778, 0, 0, 0, 0, 0, 0, 224, 219, 1221
"c:\xampp\htdocs\Splint\lib\imageTracerJS\nodecli\PNG.js", "JavaScript", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 20, 29, 161
"c:\xampp\htdocs\Splint\lib\imageTracerJS\nodecli\PNGReader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 112, 67, 419
